City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
329,sao miguel do araguaia,-13.275,-50.1628,302.96,61,50,1.62,BR,1680452232
330,tuy hoa,13.0833,109.3,296.89,93,22,1.63,VN,1680452232
331,san ignacio,17.1561,-89.0714,304.16,43,40,4.04,BZ,1680452233
332,hobyo,5.3505,48.5268,302.21,73,27,5.56,SO,1680452233
333,flinders,-34.5833,150.8552,290.47,88,58,0.89,AU,1680452234
334,plastun,44.7561,136.2939,275.79,77,21,1.09,RU,1680452234
335,ondarroa,43.3167,-2.4167,287.89,69,62,6.3,ES,1680452234
336,aksu,41.1231,80.2644,286.21,16,0,1.79,CN,1680452234
337,college,64.8569,-147.8028,268.47,87,100,1.54,US,1680452014
338,acarau,-2.8856,-40.12,300.22,79,80,2.93,BR,1680451963
339,orlik,52.5178,99.825,250.37,85,49,1.21,RU,1680452235
340,igarka,67.4667,86.5833,273.45,86,100,7.48,RU,1680452235
341,vostok,46.4856,135.8833,273.75,85,78,2.08,RU,1680452235
342,staryy nadym,65.6118,72.6842,271.35,87,100,5.39,RU,1680452235
343,hambantota,6.1241,81.1185,299.28,80,53,0.52,LK,1680452235
344,praia,14.9215,-23.5087,308.45,17,0,9.77,CV,1680452235
345,xian,34.2583,108.9286,283.6,87,100,6.09,CN,1680452227
346,el paso,31.8001,-106.2005,292.44,16,20,6.17,US,1680452236
347,astana,51.1801,71.446,272.12,59,0,5.0,KZ,1680452236
348,mbinga,-10.9333,35.0167,291.07,95,91,1.35,TZ,1680452236
349,portland,45.5234,-122.6762,279.14,90,100,4.63,US,1680452187
350,acurenam,1.0322,10.6488,297.79,79,91,1.38,GQ,1680452236
351,banfora,10.6333,-4.7667,311.8,14,5,2.17,BF,1680452237
352,staritsa,56.5075,34.9354,276.23,98,100,2.93,RU,1680452237
353,margate,51.3813,1.3862,282.54,66,7,4.47,GB,1680452237
354,chuy,-33.6971,-53.4616,295.48,46,35,1.08,UY,1680452237
355,zaragoza,41.6561,-0.8773,289.27,44,75,11.83,ES,1680452059
356,walvis bay,-22.9575,14.5053,292.68,68,16,6.69,NA,1680452238
357,peace river,56.2501,-117.286,271.32,95,100,5.14,CA,1680452238
358,maceio,-9.6658,-35.7353,302.84,74,75,3.6,BR,1680451984
359,georgetown,5.4112,100.3354,300.12,89,20,1.54,MY,1680452239
360,mahibadhoo,3.7833,72.9667,301.52,72,16,3.55,MV,1680452239
361,sioux lookout,50.1001,-91.917,271.83,90,100,2.33,CA,1680451960
362,asau,46.4333,26.4,284.66,80,100,1.43,RO,1680452239
363,jasper,37.2001,-94.3502,293.18,22,0,8.23,US,1680452239
364,bereda,43.2686,-7.5406,290.45,55,100,2.64,ES,1680452239
365,lagoa,39.05,-27.9833,286.82,56,31,11.85,PT,1680452240
366,segezha,63.7415,34.3222,269.1,87,39,5.79,RU,1680452240
367,grindavik,63.8424,-22.4338,280.12,65,75,5.14,IS,1680452240
368,codajas,-3.8367,-62.0569,295.38,97,100,0.55,BR,1680452240
369,katsuura,35.1333,140.3,285.4,66,100,8.96,JP,1680452241
370,bang sao thong,13.595,100.8304,303.74,86,20,6.17,TH,1680452241
371,ilebo,-4.3167,20.5833,300.34,75,22,0.61,CD,1680452241
372,wuda,39.4994,106.7117,277.74,29,94,4.18,CN,1680452241
373,vega de alatorre,20.0333,-96.6333,300.64,64,2,2.21,MX,1680452242
374,placido de castro,-10.3353,-67.1856,303.23,59,100,1.47,BR,1680452242
375,kameshkovo,56.3481,41.0047,280.71,83,100,4.08,RU,1680452242
376,maniitsoq,65.4167,-52.9,267.34,59,73,1.5,GL,1680452242
377,namibe,-15.1961,12.1522,299.56,73,80,7.88,AO,1680452242
378,kolpashevo,58.3131,82.9089,271.59,79,100,5.36,RU,1680452243
379,kijang,35.2442,129.2139,286.0,69,0,8.72,KR,1680452243
380,touros,-5.1989,-35.4608,301.9,70,86,3.99,BR,1680452243
381,iquique,-20.2208,-70.1431,299.17,71,14,2.62,CL,1680452243
382,svetogorsk,61.1121,28.8632,273.92,47,88,4.89,RU,1680451965
383,severo-kurilsk,50.6789,156.125,272.64,87,76,6.05,RU,1680452244
384,luanda,-8.8368,13.2343,304.15,62,20,6.17,AO,1680452212
385,ambulu,-8.345,113.6058,297.55,89,100,1.14,ID,1680452244
386,denpasar,-8.65,115.2167,298.96,100,75,2.06,ID,1680451967
387,hokitika,-42.7167,170.9667,285.84,73,94,2.79,NZ,1680452244
388,ahipara,-35.1667,173.1667,289.5,91,33,4.32,NZ,1680452244
389,nyborg,55.3127,10.7896,278.34,59,1,6.37,DK,1680452244
390,levelland,33.5873,-102.378,293.81,29,0,7.38,US,1680452245
391,flagstaff,35.1981,-111.6513,282.37,31,0,4.63,US,1680452146
392,monkey bay,-14.0728,34.9201,296.85,79,92,6.92,MW,1680452245
393,korablino,53.9164,40.0133,281.11,72,88,2.86,RU,1680452250
394,athabasca,54.7169,-113.2854,272.85,91,100,1.65,CA,1680452250
395,shimoda,34.6667,138.95,284.32,74,100,10.39,JP,1680452250
396,mangrol,21.1167,70.1167,297.75,74,0,4.28,IN,1680452250
397,male,4.1748,73.5089,302.12,79,20,3.09,MV,1680452250
398,victoria,22.2855,114.1577,295.18,92,100,0.45,HK,1680452250
399,dabhol,17.6,73.1667,296.87,72,13,2.64,IN,1680452251
400,thinadhoo,0.5333,72.9333,301.32,70,99,3.87,MV,1680452251
401,igbon,11.2142,123.1655,299.3,76,58,5.29,PH,1680452251
402,sinnamary,5.3833,-52.95,300.94,68,73,5.63,GF,1680452251
403,nizwa,22.9333,57.5333,299.85,30,78,2.39,OM,1680452251
404,jalu,29.0331,21.5482,301.46,8,0,4.41,LY,1680452251
405,traverse city,44.7631,-85.6206,278.9,41,75,4.63,US,1680452112
406,gushikawa,26.3544,127.8686,292.72,72,0,2.57,JP,1680452251
407,hovd,48.0056,91.6419,260.11,45,58,1.32,MN,1680452252
408,caravelas,-17.7125,-39.2481,302.38,59,59,3.5,BR,1680452252
409,lagos,6.5833,3.75,305.33,58,90,4.36,NG,1680452167
410,kutum,14.2,24.6667,302.47,10,68,3.65,SD,1680452252
411,lodwar,3.1191,35.5973,306.22,35,71,7.0,KE,1680452252
412,ozernovskiy,51.5,156.5167,271.9,89,53,3.7,RU,1680452252
413,khani,41.9563,42.9566,285.91,73,30,2.19,GE,1680452253
414,ayagoz,47.9714,80.4392,267.47,60,3,6.42,KZ,1680452253
415,vicuna,-30.0319,-70.7081,303.58,35,4,2.89,CL,1680452219
416,talnakh,69.4865,88.3972,268.82,97,100,4.6,RU,1680452253
